time,price,size,brs,title,link
2017-08-09 08:45:00,1803.0,1213.0,2.0,Pool and Mountain Views in Select Homes Courtesy Patrol Hot Tub,/apa/d/pool-and-mountain-views-in/6250253301.html
2017-08-09 08:44:00,1300.0,1075.0,2.0,2 bed/1 bath basement unit all utilities included,/apa/d/2-bed-1-bath-basement-unit/6256648800.html
2017-08-09 08:43:00,1099.0,665.0,1.0,Renovated Clubhouse New Stainless Steel Appliances New Dog Park,/apa/d/renovated-clubhouse-new/6216488683.html
2017-08-09 08:43:00,1795.0,1245.0,2.0,Near Park Meadows Mall Attached and Detached Garages Package Service,/apa/d/near-park-meadows-mall/6256662656.html
2017-08-09 08:42:00,1990.0,,3.0,Location Community Quality Living. It Starts Here,/apa/d/location-community-quality/6256662029.html
2017-08-09 08:42:00,1245.0,900.0,2.0,Oversized Closets Pet Friendly Washer  Dryer Connections,/apa/d/oversized-closets-pet/6238849794.html
2017-08-09 08:42:00,1385.0,712.0,1.0,1 bedroom  Builtin Book Shelves Spin and Yoga Room Art Niches,/apa/d/1-bedroom-built-in-book/6256660686.html
2017-08-09 08:41:00,500.0,1200.0,3.0,  Renovated Row home 3 bedroom available Good Hood,/apa/d/renovated-row-home-3-bedroom/6256573033.html
2017-08-09 08:40:00,500.0,1200.0,3.0,  Renovated Row home 3 bedroom available Good Hood,/apa/d/renovated-row-home-3-bedroom/6256573010.html
2017-08-09 08:39:00,975.0,,2.0,Move into The Stapleton Be the First To Shop At The New Stores,/apa/d/move-into-the-stapleton-be/6256657068.html
2017-08-09 08:39:00,1599.0,1121.0,2.0,No Fees in the heart of Belmar 2Bed2Bath Next to outdoor pool,/apa/d/no-fees-in-the-heart-of/6256656411.html
2017-08-09 08:38:00,1310.0,811.0,1.0,Large 1x1 with upgrades,/apa/d/large-1x1-with-upgrades/6256655884.html
2017-08-09 08:38:00,,975.0,1.0,Just One Click Is All It Takes To Find The Perfect New Apartment Home,/apa/d/just-one-click-is-all-it/6256655451.html
2017-08-09 08:37:00,900.0,2178.0,3.0,This updated Bear Valley West trilevel home offers 3 beds and 3 baths,/apa/d/this-updated-bear-valley-west/6256634980.html
2017-08-09 08:37:00,1695.0,1015.0,2.0,Clean and Open Space Utilities Included with Rent Sec8 Accepted,/apa/d/clean-and-open-space/6245196267.html
2017-08-09 08:37:00,1895.0,1035.0,4.0,Sec8  Great Brick Home  Granite Hardwoods Reliable Prop.Management,/apa/d/sec8-great-brick-home-granite/6233629785.html
2017-08-09 08:37:00,1240.0,1260.0,3.0,Louisville Awesome 3 bedrooms 1.5 bathrooms Skylights or Sky Tubes,/apa/d/louisville-awesome-3-bedrooms/6231628266.html
2017-08-09 08:36:00,700.0,1092.0,2.0,Amazing location. 1 block from Wash Park. Walking distance to many loc,/apa/d/amazing-location-1-block-from/6256637496.html
2017-08-09 08:35:00,1442.0,927.0,1.0,9 Foot Ceilings Vaulted Ceilings on top floors Gas Grills,/apa/d/9-foot-ceilings-vaulted/6252893934.html
2017-08-09 08:35:00,1550.0,,2.0,Charming 2 Bedroom Condo for Rent in Littleton,/apa/d/charming-2-bedroom-condo-for/6253591386.html
2017-08-09 08:35:00,1300.0,,2.0,Fantastic Condo for Rent in Lakewood,/apa/d/fantastic-condo-for-rent-in/6253586768.html
2017-08-09 08:35:00,2185.0,,3.0,Gorgeous Townhouse for rent in Castle Rock,/apa/d/gorgeous-townhouse-for-rent/6242352638.html
2017-08-09 08:35:00,2185.0,,3.0,Beautiful Town Home for Rent in Castle Rock,/apa/d/beautiful-town-home-for-rent/6246589140.html
2017-08-09 08:34:00,3790.0,4800.0,5.0,Beautiful Big and Spacious Single Family Home For Rent,/apa/d/beautiful-big-and-spacious/6256616539.html
2017-08-09 08:34:00,1950.0,,2.0,ELIZABETH 2 BEDROOM HOUSE WITH HORSE PEN AND SHELTER ON 1 ACRE IN TOWN,/apa/d/elizabeth-2-bedroom-house/6256649366.html
2017-08-09 08:34:00,1822.0,1320.0,3.0,Cozy Fireplace Resident Clubhouse Smart Apartment Features Available,/apa/d/cozy-fireplace-resident/6238810601.html
2017-08-09 08:34:00,,715.0,1.0,Picture Your Self Living In Luxury.. Can You See It Lease Here Today,/apa/d/picture-your-self-living-in/6215261649.html
2017-08-09 08:33:00,2100.0,18000.0,3.0,Beautiful home for rent in great upscale area,/apa/d/beautiful-home-for-rent-in/6221204790.html
2017-08-09 08:33:00,1595.0,1700.0,2.0,10680 Carrol Lane,/apa/d/10680-carrol-lane/6256647375.html
2017-08-09 08:31:00,1450.0,884.0,2.0,Spacious Two Bedroom with Original Hardwood Floors,/apa/d/spacious-two-bedroom-with/6256644159.html
2017-08-09 08:30:00,2618.0,1212.0,2.0,Downtown Cherry Creek North 2 Bedroom  Super Luxury Stunning Views,/apa/d/downtown-cherry-creek-north-2/6256643433.html
